ReporterISO3;ProductCode;ReporterName;PartnerISO3;PartnerName;Year;TradeFlowName;TradeValue in 1000 USD
ABW;334;Aruba;ANT;Netherlands Antilles;2010;Export;0.116
ABW;334;Aruba;CAN;Canada;2011;Export;0.201
ABW;334;Aruba;GBR;United Kingdom;2013;Export;0.011
ABW;334;Aruba;IND;India;2012;Export;12.022
ABW;334;Aruba;NLD;Netherlands;2010;Export;0.541
ABW;334;Aruba;NLD;Netherlands;2011;Export;5.642
ABW;334;Aruba;NLD;Netherlands;2012;Export;0.465
ABW;334;Aruba;PAN;Panama;2011;Export;0.697
ABW;334;Aruba;PAN;Panama;2013;Export;0.17
ABW;334;Aruba;TTO;Trinidad and Tobago;2012;Export;7.261
ABW;334;Aruba;USA;United States;2010;Export;130.344
ABW;334;Aruba;USA;United States;2012;Export;2.235
ABW;334;Aruba;USA;United States;2013;Export;1.218
ABW;334;Aruba;USA;United States;2014;Export;25.069
ABW;334;Aruba;VEN;Venezuela;2010;Export;0.01
ABW;334;Aruba;VEN;Venezuela;2014;Export;8.743
ABW;334;Aruba;WLD; World;2010;Export;131.551
ABW;334;Aruba;WLD; World;2011;Export;9.907
ABW;334;Aruba;WLD; World;2012;Export;75.893
ABW;334;Aruba;WLD; World;2013;Export;4.523
ABW;334;Aruba;WLD; World;2014;Export;40.591
ABW;335;Aruba;ANT;Netherlands Antilles;2010;Export;0.05
ABW;335;Aruba;BEL;Belgium;2010;Export;0.012
ABW;335;Aruba;BEL;Belgium;2011;Export;0.498
ABW;335;Aruba;BEL;Belgium;2012;Export;0.536
ABW;335;Aruba;BEL;Belgium;2013;Export;0.019
ABW;335;Aruba;CAN;Canada;2011;Export;0.001
ABW;335;Aruba;CHN;China;2013;Export;0.003
ABW;335;Aruba;COL;Colombia;2013;Export;0.168
ABW;335;Aruba;GBR;United Kingdom;2010;Export;0.012
ABW;335;Aruba;GBR;United Kingdom;2011;Export;0.275
ABW;335;Aruba;GBR;United Kingdom;2012;Export;0.48
ABW;335;Aruba;GBR;United Kingdom;2013;Export;0.079
ABW;335;Aruba;IND;India;2010;Export;0.001
ABW;335;Aruba;JPN;Japan;2012;Export;0.09
ABW;335;Aruba;NLD;Netherlands;2010;Export;0.237
ABW;335;Aruba;NLD;Netherlands;2011;Export;0.569
ABW;335;Aruba;NLD;Netherlands;2012;Export;0.326
ABW;335;Aruba;NLD;Netherlands;2013;Export;0.068
ABW;335;Aruba;PAN;Panama;2012;Export;0.231
ABW;335;Aruba;SWE;Sweden;2011;Export;0.068
ABW;335;Aruba;USA;United States;2010;Export;0.147
ABW;335;Aruba;USA;United States;2011;Export;1.787
ABW;335;Aruba;USA;United States;2012;Export;1.398
ABW;335;Aruba;USA;United States;2013;Export;0.143
ABW;335;Aruba;USA;United States;2014;Export;1.66
ABW;335;Aruba;VEN;Venezuela;2011;Export;0.497
ABW;335;Aruba;VEN;Venezuela;2012;Export;0.055
ABW;335;Aruba;VEN;Venezuela;2013;Export;0.077
ABW;335;Aruba;WLD; World;2010;Export;0.473
ABW;335;Aruba;WLD; World;2011;Export;5.276
ABW;335;Aruba;WLD; World;2012;Export;5.237
ABW;335;Aruba;WLD; World;2013;Export;1.154
ABW;335;Aruba;WLD; World;2014;Export;2.016
ABW;51;Aruba;ANT;Netherlands Antilles;2010;Export;0.269
ABW;51;Aruba;CHE;Switzerland;2011;Export;0.632
ABW;51;Aruba;NLD;Netherlands;2012;Export;0.611
ABW;51;Aruba;USA;United States;2012;Export;10.138
ABW;51;Aruba;USA;United States;2013;Export;260.264
ABW;51;Aruba;VEN;Venezuela;2012;Export;0.075
ABW;51;Aruba;VEN;Venezuela;2013;Export;0.779
ABW;51;Aruba;VEN;Venezuela;2014;Export;226.164
ABW;51;Aruba;WLD; World;2010;Export;0.27
ABW;51;Aruba;WLD; World;2011;Export;10.904
ABW;51;Aruba;WLD; World;2012;Export;28.964
ABW;51;Aruba;WLD; World;2013;Export;261.516
ABW;51;Aruba;WLD; World;2014;Export;233.647
ABW;52;Aruba;ANT;Netherlands Antilles;2010;Export;348.069
ABW;52;Aruba;BEL;Belgium;2012;Export;40.237
ABW;52;Aruba;USA;United States;2010;Export;1.436
ABW;52;Aruba;USA;United States;2011;Export;187.003
ABW;52;Aruba;USA;United States;2012;Export;3.672.994
ABW;52;Aruba;USA;United States;2013;Export;934.676
ABW;52;Aruba;USA;United States;2014;Export;8.8
ABW;52;Aruba;VEN;Venezuela;2011;Export;5.338
ABW;52;Aruba;VEN;Venezuela;2014;Export;15.219
ABW;52;Aruba;WLD; World;2010;Export;349.505
ABW;52;Aruba;WLD; World;2011;Export;361.345
ABW;52;Aruba;WLD; World;2012;Export;3.980.316
ABW;52;Aruba;WLD; World;2013;Export;941.568
ABW;52;Aruba;WLD; World;2014;Export;33.598
ABW;562;Aruba;VEN;Venezuela;2011;Export;5.039
ABW;562;Aruba;WLD; World;2011;Export;5.039
ABW;59;Aruba;ANT;Netherlands Antilles;2010;Export;59.063
ABW;59;Aruba;CAN;Canada;2010;Export;0.787
ABW;59;Aruba;CAN;Canada;2012;Export;0.068
ABW;59;Aruba;CHN;China;2013;Export;0.009
ABW;59;Aruba;COL;Colombia;2011;Export;4.721
ABW;59;Aruba;COL;Colombia;2012;Export;0.146
ABW;59;Aruba;COL;Colombia;2013;Export;0.03
ABW;59;Aruba;DOM;Dominican Republic;2013;Export;4.202
ABW;59;Aruba;GBR;United Kingdom;2011;Export;0.073
ABW;59;Aruba;GBR;United Kingdom;2012;Export;0.552
ABW;59;Aruba;NLD;Netherlands;2010;Export;0.352
ABW;59;Aruba;NLD;Netherlands;2011;Export;0.487
ABW;59;Aruba;NLD;Netherlands;2012;Export;7.831
ABW;59;Aruba;NLD;Netherlands;2013;Export;0.704
ABW;59;Aruba;SUR;Suriname;2011;Export;0.159
ABW;59;Aruba;SUR;Suriname;2013;Export;0.126
ABW;59;Aruba;TTO;Trinidad and Tobago;2010;Export;1.896
