ReporterISO3;ProductCode;ReporterName;PartnerISO3;PartnerName;Year;TradeFlowName;TradeValue in 1000 USD
BMU;334;Bermuda;WLD; World;2012;Export;608.256
BMU;51;Bermuda;USA;United States;2014;Export;1.25
BMU;51;Bermuda;WLD; World;2014;Export;1.25
BMU;52;Bermuda;USA;United States;2014;Export;6.069
BMU;52;Bermuda;WLD; World;2014;Export;6.069
BMU;59;Bermuda;GBR;United Kingdom;2012;Export;25.327
BMU;59;Bermuda;USA;United States;2012;Export;2.123
BMU;59;Bermuda;USA;United States;2013;Export;0.198
BMU;59;Bermuda;USA;United States;2014;Export;0.222
BMU;59;Bermuda;WLD; World;2012;Export;27.449
BMU;59;Bermuda;WLD; World;2013;Export;0.198
BMU;59;Bermuda;WLD; World;2014;Export;0.222
BMU;634;Bermuda;GBR;United Kingdom;2012;Export;0.2
BMU;634;Bermuda;USA;United States;2014;Export;0.1
BMU;634;Bermuda;WLD; World;2012;Export;0.2
BMU;634;Bermuda;WLD; World;2014;Export;0.1
BMU;635;Bermuda;GBR;United Kingdom;2012;Export;1.116
BMU;635;Bermuda;USA;United States;2012;Export;0.5
BMU;635;Bermuda;USA;United States;2013;Export;4.367
BMU;635;Bermuda;USA;United States;2014;Export;1.227
BMU;635;Bermuda;WLD; World;2012;Export;1.616
BMU;635;Bermuda;WLD; World;2013;Export;4.367
BMU;635;Bermuda;WLD; World;2014;Export;1.227
BMU;64;Bermuda;CAN;Canada;2012;Export;0.02
BMU;64;Bermuda;CHN;China;2012;Export;0.164
BMU;64;Bermuda;DEU;Germany;2012;Export;0.269
BMU;64;Bermuda;DEU;Germany;2013;Export;0.605
BMU;64;Bermuda;DEU;Germany;2014;Export;0.52
BMU;64;Bermuda;GBR;United Kingdom;2012;Export;2.216
BMU;64;Bermuda;GBR;United Kingdom;2013;Export;4.209
BMU;64;Bermuda;GBR;United Kingdom;2014;Export;6.929
BMU;64;Bermuda;ITA;Italy;2014;Export;0.939
BMU;64;Bermuda;NLD;Netherlands;2012;Export;0.206
BMU;64;Bermuda;NLD;Netherlands;2014;Export;0.062
BMU;64;Bermuda;THA;Thailand;2014;Export;0.135
BMU;64;Bermuda;USA;United States;2012;Export;1.262
BMU;64;Bermuda;USA;United States;2013;Export;4.873
BMU;64;Bermuda;USA;United States;2014;Export;3.063
BMU;64;Bermuda;WLD; World;2012;Export;4.137
BMU;64;Bermuda;WLD; World;2013;Export;9.687
BMU;64;Bermuda;WLD; World;2014;Export;11.648
BMU;67;Bermuda;CAN;Canada;2012;Export;0.045
BMU;67;Bermuda;USA;United States;2012;Export;32.885
BMU;67;Bermuda;USA;United States;2013;Export;5.774
BMU;67;Bermuda;USA;United States;2014;Export;0.268
BMU;67;Bermuda;WLD; World;2012;Export;32.93
BMU;67;Bermuda;WLD; World;2013;Export;5.774
BMU;67;Bermuda;WLD; World;2014;Export;0.268
BMU;68;Bermuda;GBR;United Kingdom;2012;Export;0.316
BMU;68;Bermuda;GBR;United Kingdom;2013;Export;0.568
BMU;68;Bermuda;GBR;United Kingdom;2014;Export;0.395
BMU;68;Bermuda;NLD;Netherlands;2014;Export;3.024
BMU;68;Bermuda;USA;United States;2013;Export;0.07
BMU;68;Bermuda;USA;United States;2014;Export;0.171
BMU;68;Bermuda;WLD; World;2012;Export;0.316
BMU;68;Bermuda;WLD; World;2013;Export;0.638
BMU;68;Bermuda;WLD; World;2014;Export;3.59
BMU;69;Bermuda;BEL;Belgium;2012;Export;0.253
BMU;69;Bermuda;BEL;Belgium;2013;Export;3.509
BMU;69;Bermuda;CAN;Canada;2012;Export;6.792
BMU;69;Bermuda;CAN;Canada;2013;Export;1.437
BMU;69;Bermuda;CAN;Canada;2014;Export;4.955
BMU;69;Bermuda;CHN;China;2012;Export;0.474
