ReporterISO3;PartnerISO3;Year;TradeFlowName;TradeValue in 1000 USD
AGO;ARE;2010;Export;366245.201
AGO;ARE;2011;Export;382914.749
AGO;ARE;2012;Export;656894.003
AGO;ARE;2013;Export;790460.615
AGO;ARE;2014;Export;867779.323
AGO;AUS;2014;Export;45435.804
AGO;BEL;2010;Export;45614.873
AGO;BEL;2011;Export;39328.574
AGO;BEL;2012;Export;52907.343
AGO;BEL;2013;Export;123610.469
AGO;BEL;2014;Export;52383.95
AGO;BEN;2011;Export;1700.981
AGO;BHS;2010;Export;140139.415
AGO;BHS;2013;Export;100210.999
AGO;BHS;2014;Export;52974.059
AGO;BRA;2010;Export;509259.955
AGO;BRA;2011;Export;333280.441
AGO;BRA;2012;Export;315316.932
AGO;BRA;2013;Export;428750.075
AGO;BRA;2014;Export;1032751.313
AGO;CAN;2010;Export;4039116.578
AGO;CAN;2012;Export;3519981.595
AGO;CAN;2013;Export;3305027.169
AGO;CAN;2014;Export;2719654.992
AGO;CHE;2010;Export;70779.935
AGO;CHE;2011;Export;134064.106
AGO;CHE;2012;Export;186846.948
AGO;CHE;2013;Export;218946.068
AGO;CHE;2014;Export;225023.093
AGO;CHL;2014;Export;377508.944
AGO;CHN;2010;Export;20963245.48
AGO;CHN;2011;Export;24360792.85
AGO;CHN;2012;Export;33710030.02
AGO;CHN;2013;Export;31947235.08
AGO;CHN;2014;Export;27527110.85
AGO;CMR;2012;Export;3093.248
AGO;COG;2010;Export;4599.24
AGO;CYP;2010;Export;206.626
AGO;DEU;2011;Export;113809.909
AGO;DEU;2014;Export;99315.734
AGO;ECU;2011;Export;39565.34
AGO;ESP;2010;Export;973507.488
AGO;ESP;2011;Export;650112.757
AGO;ESP;2012;Export;1627704.793
AGO;ESP;2013;Export;2481785.16
AGO;ESP;2014;Export;3726455.174
AGO;FRA;2010;Export;2213064.563
AGO;FRA;2011;Export;2187026.178
AGO;FRA;2012;Export;1176722.96
AGO;FRA;2013;Export;1374449.816
AGO;FRA;2014;Export;1929812.984
AGO;GBR;2010;Export;77152.025
AGO;GBR;2011;Export;348431.351
AGO;GBR;2012;Export;1288476.579
AGO;GBR;2013;Export;838968.401
AGO;GBR;2014;Export;292919.343
AGO;GHA;2011;Export;10587.838
AGO;GHA;2014;Export;575.67
AGO;HKG;2010;Export;6026.066
AGO;HKG;2011;Export;107418.291
AGO;HKG;2012;Export;68913.667
AGO;HKG;2013;Export;103851.203
AGO;HKG;2014;Export;36185.434
AGO;IDN;2011;Export;214822.233
AGO;IDN;2012;Export;319719.012
AGO;IDN;2013;Export;105950.997
AGO;IDN;2014;Export;204706.964
AGO;IND;2010;Export;5117824.926
AGO;IND;2011;Export;6842018.3
AGO;IND;2012;Export;6932060.8
AGO;IND;2013;Export;6764232.765
AGO;IND;2014;Export;4507416.181
AGO;IRL;2013;Export;162320.739
AGO;ISR;2010;Export;426397.104
AGO;ISR;2011;Export;390336.822
AGO;ISR;2012;Export;163373.513
AGO;ISR;2013;Export;25343.249
AGO;ISR;2014;Export;28680.601
AGO;ITA;2010;Export;219933.498
AGO;ITA;2011;Export;2270211.034
AGO;ITA;2012;Export;1090068.047
AGO;ITA;2013;Export;1029414.24
AGO;ITA;2014;Export;1347847.024
AGO;JPN;2011;Export;1369.367
AGO;JPN;2012;Export;290454.968
AGO;JPN;2013;Export;351933.268
AGO;JPN;2014;Export;322231.936
AGO;KOR;2010;Export;94148.203
AGO;KOR;2011;Export;1839.484
AGO;KOR;2012;Export;35251.396
AGO;KOR;2013;Export;130081.023
AGO;KOR;2014;Export;33816.103
AGO;MAR;2013;Export;2920.794
AGO;MEX;2011;Export;32674.82
AGO;MYS;2010;Export;237357.325
AGO;MYS;2011;Export;202593.91
AGO;MYS;2012;Export;482.029
AGO;MYS;2013;Export;947.906
AGO;MYS;2014;Export;88212.359
AGO;NAM;2011;Export;2348.088
AGO;NAM;2012;Export;1440.42
AGO;NAM;2013;Export;2452.46
AGO;NAM;2014;Export;1600.117
AGO;NLD;2010;Export;724212.044
AGO;NLD;2011;Export;1675962.936
AGO;NLD;2012;Export;1086272.987
AGO;NLD;2013;Export;1647310.187
AGO;NLD;2014;Export;2264409.864
AGO;NOR;2014;Export;164928.872
AGO;PAN;2010;Export;77969.322
AGO;PAN;2011;Export;32663.897
AGO;PAN;2012;Export;959155.743
AGO;PAN;2013;Export;714853.969
AGO;PAN;2014;Export;709381.78
AGO;PER;2010;Export;403724.675
AGO;PER;2011;Export;646148.258
AGO;PER;2012;Export;408538.244
AGO;PER;2013;Export;202231.077
AGO;POL;2014;Export;233.175
AGO;PRT;2010;Export;866257.758
AGO;PRT;2011;Export;1612486.681
AGO;PRT;2012;Export;2008649.718
AGO;PRT;2013;Export;2987167.493
AGO;PRT;2014;Export;1926041.002
AGO;RUS;2013;Export;65.798
AGO;SGP;2010;Export;143769.644
AGO;SGP;2013;Export;423789.277
AGO;SGP;2014;Export;97684.18
AGO;STP;2010;Export;21182.336
AGO;STP;2011;Export;60317.711
AGO;STP;2012;Export;33021.096
AGO;STP;2013;Export;33818.776
AGO;STP;2014;Export;39430.598
AGO;SWE;2011;Export;25530.123
AGO;SWE;2012;Export;171363.428
AGO;TGO;2010;Export;6234.79
AGO;TGO;2011;Export;14196.574
AGO;THA;2010;Export;76512.012
AGO;THA;2012;Export;211521.428
AGO;THA;2013;Export;200567.172
AGO;THA;2014;Export;814524.463
AGO;TUR;2010;Export;77.593
AGO;TUR;2013;Export;59.644
AGO;TUR;2014;Export;36.05
AGO;URY;2013;Export;311400.876
AGO;URY;2014;Export;217485.863
AGO;USA;2010;Export;9965785.888
AGO;USA;2011;Export;16475024.14
AGO;USA;2012;Export;6594525.851
AGO;USA;2013;Export;5018390.939
AGO;USA;2014;Export;2548807.59
AGO;VNM;2014;Export;945.086
AGO;WLD;2010;Export;52612114.76
AGO;WLD;2011;Export;66427390.22
AGO;WLD;2012;Export;70863076.41
AGO;WLD;2013;Export;67712526.55
AGO;WLD;2014;Export;58672369.19
AGO;ZAF;2010;Export;1705165.66
AGO;ZAF;2011;Export;1697608.393
AGO;ZAF;2012;Export;3001275.089
AGO;ZAF;2013;Export;1753637.53
AGO;ZAF;2014;Export;1951242.169
ALB;AFG;2010;Export;1.83
ALB;AFG;2011;Export;0.739
ALB;AFG;2013;Export;0.278
ALB;AFG;2014;Export;0.209
ALB;ARE;2010;Export;11673.268
ALB;ARE;2011;Export;844.327
ALB;ARE;2012;Export;2779.157
ALB;ARE;2013;Export;1613.175
ALB;ARE;2014;Export;1543.602
ALB;ARG;2011;Export;34.983
ALB;ARG;2012;Export;104.118
ALB;ARG;2014;Export;63.774
ALB;ARM;2011;Export;46.472
ALB;ARM;2012;Export;31.681
ALB;ARM;2013;Export;25.896
ALB;ARM;2014;Export;60.594
ALB;AUS;2010;Export;0.133
ALB;AUS;2011;Export;60.669
ALB;AUS;2012;Export;106.408
ALB;AUS;2014;Export;102.199
ALB;AUT;2010;Export;15964.618
ALB;AUT;2011;Export;22954.742
ALB;AUT;2012;Export;23868.674
ALB;AUT;2013;Export;11851.454
ALB;AUT;2014;Export;18645.836
ALB;AZE;2011;Export;2.865
ALB;AZE;2012;Export;0.064
ALB;AZE;2013;Export;5.498
ALB;AZE;2014;Export;2.658
ALB;BEL;2010;Export;3953.934
ALB;BEL;2011;Export;6970.821
ALB;BEL;2012;Export;5749.639
ALB;BEL;2013;Export;1825.712
ALB;BEL;2014;Export;3838.399
ALB;BFA;2011;Export;79.025
ALB;BGD;2013;Export;3.051
ALB;BGD;2014;Export;24.881
ALB;BGR;2010;Export;15689.737
ALB;BGR;2011;Export;24058.84
ALB;BGR;2012;Export;25523.232
ALB;BGR;2013;Export;21965.868
ALB;BGR;2014;Export;26143.199
ALB;BHR;2010;Export;11.993
ALB;BIH;2010;Export;3096.517
ALB;BIH;2011;Export;2349.259
ALB;BIH;2012;Export;2347.783
ALB;BIH;2013;Export;2873.326
ALB;BIH;2014;Export;4426.544
ALB;BLR;2010;Export;11.313
ALB;BLR;2013;Export;1838.688
ALB;BLR;2014;Export;294.108
ALB;BLZ;2010;Export;9.408
ALB;BLZ;2011;Export;9.551
ALB;BLZ;2013;Export;16.14
ALB;BMU;2011;Export;9.909
ALB;BOL;2010;Export;298.157
ALB;BRA;2010;Export;2676.716
