ReporterISO3;ProductCode;ReporterName;PartnerISO3;PartnerName;Year;TradeFlowName;TradeValue in 1000 USD
GRC;251;Greece;ALB;Albania;2011;Export;1.496
GRC;251;Greece;ALB;Albania;2012;Export;0.004
GRC;251;Greece;ALB;Albania;2013;Export;4.319
GRC;251;Greece;ARE;United Arab Emirates;2010;Export;44.018
GRC;251;Greece;AUS;Australia;2010;Export;21.895
GRC;251;Greece;AUT;Austria;2010;Export;136.505
GRC;251;Greece;AUT;Austria;2011;Export;152.116
GRC;251;Greece;AUT;Austria;2012;Export;11.794
GRC;251;Greece;AUT;Austria;2013;Export;22.739
GRC;251;Greece;AUT;Austria;2014;Export;42.126
GRC;251;Greece;BEL;Belgium;2010;Export;57.182
GRC;251;Greece;BEL;Belgium;2011;Export;25.468
GRC;251;Greece;BEL;Belgium;2012;Export;207.28
GRC;251;Greece;BEL;Belgium;2013;Export;197.07
GRC;251;Greece;BGD;Bangladesh;2010;Export;508.292
GRC;251;Greece;BGD;Bangladesh;2011;Export;151.776
GRC;251;Greece;BGD;Bangladesh;2012;Export;110.59
GRC;251;Greece;BGD;Bangladesh;2013;Export;32.978
GRC;251;Greece;BGR;Bulgaria;2010;Export;612.924
GRC;251;Greece;BGR;Bulgaria;2011;Export;72.904
GRC;251;Greece;BGR;Bulgaria;2012;Export;2.386.613
GRC;251;Greece;BGR;Bulgaria;2013;Export;3.958.084
GRC;251;Greece;BGR;Bulgaria;2014;Export;2.652.104
GRC;251;Greece;BRA;Brazil;2013;Export;0.341
GRC;251;Greece;CHE;Switzerland;2011;Export;59.959
GRC;251;Greece;CHN;China;2010;Export;9.508.954
GRC;251;Greece;CHN;China;2011;Export;15.896.894
GRC;251;Greece;CHN;China;2012;Export;15960.87
GRC;251;Greece;CHN;China;2013;Export;13.867.493
GRC;251;Greece;CHN;China;2014;Export;14.272.558
GRC;251;Greece;CYP;Cyprus;2010;Export;59.841
GRC;251;Greece;CYP;Cyprus;2011;Export;116.998
GRC;251;Greece;CYP;Cyprus;2012;Export;370.443
GRC;251;Greece;CYP;Cyprus;2013;Export;496.966
GRC;251;Greece;CYP;Cyprus;2014;Export;537.537
GRC;251;Greece;CZE;Czech Republic;2013;Export;0.077
GRC;251;Greece;DEU;Germany;2010;Export;24.762
GRC;251;Greece;DEU;Germany;2011;Export;237.98
GRC;251;Greece;DEU;Germany;2012;Export;459.875
GRC;251;Greece;DEU;Germany;2013;Export;706.796
GRC;251;Greece;DEU;Germany;2014;Export;199.838
GRC;251;Greece;DNK;Denmark;2011;Export;0.701
GRC;251;Greece;DNK;Denmark;2012;Export;0.001
