ReporterISO3;ProductCode;ReporterName;PartnerISO3;PartnerName;Year;TradeFlowName;TradeValue in 1000 USD
KIR;334;Kiribati;AUS;Australia;2013;Export;158.379
KIR;334;Kiribati;AUS;Australia;2014;Export;12.877
KIR;334;Kiribati;FJI;Fiji;2011;Export;0.01
KIR;334;Kiribati;FJI;Fiji;2013;Export;793.49
KIR;334;Kiribati;FJI;Fiji;2014;Export;690.284
KIR;334;Kiribati;IND;India;2012;Export;0.01
KIR;334;Kiribati;IND;India;2013;Export;0.01
KIR;334;Kiribati;JPN;Japan;2013;Export;5.418
KIR;334;Kiribati;MHL;Marshall Islands;2013;Export;854.392
KIR;334;Kiribati;MHL;Marshall Islands;2014;Export;1.891
KIR;334;Kiribati;NCL;New Caledonia;2014;Export;5.86
KIR;334;Kiribati;NZL;New Zealand;2013;Export;234.486
KIR;334;Kiribati;NZL;New Zealand;2014;Export;73.695
KIR;334;Kiribati;USA;United States;2013;Export;120.414
KIR;334;Kiribati;USA;United States;2014;Export;49.539
KIR;334;Kiribati;WLD; World;2011;Export;0.01
KIR;334;Kiribati;WLD; World;2012;Export;0.01
KIR;334;Kiribati;WLD; World;2013;Export;2.166.588
KIR;334;Kiribati;WLD; World;2014;Export;834.147
KIR;51;Kiribati;AUS;Australia;2014;Export;0.023
KIR;51;Kiribati;WLD; World;2014;Export;0.224
KIR;52;Kiribati;AUS;Australia;2012;Export;28.149
KIR;52;Kiribati;AUS;Australia;2014;Export;0.009
KIR;52;Kiribati;FJI;Fiji;2012;Export;1.035
KIR;52;Kiribati;WLD; World;2012;Export;29.184
KIR;52;Kiribati;WLD; World;2014;Export;0.009
KIR;59;Kiribati;FJI;Fiji;2010;Export;0.459
KIR;59;Kiribati;FJI;Fiji;2011;Export;0.052
KIR;59;Kiribati;WLD; World;2010;Export;0.459
KIR;59;Kiribati;WLD; World;2011;Export;0.052
KIR;634;Kiribati;AUS;Australia;2014;Export;0.122
KIR;634;Kiribati;FJI;Fiji;2012;Export;0.135
KIR;634;Kiribati;WLD; World;2012;Export;0.135
KIR;634;Kiribati;WLD; World;2014;Export;0.122
KIR;635;Kiribati;AUS;Australia;2014;Export;0.19
KIR;635;Kiribati;WLD; World;2014;Export;0.19
KIR;64;Kiribati;AUS;Australia;2013;Export;0.145
KIR;64;Kiribati;AUS;Australia;2014;Export;94.891
KIR;64;Kiribati;FJI;Fiji;2014;Export;55.942
KIR;64;Kiribati;KOR;Korea, Rep.;2014;Export;0.001
KIR;64;Kiribati;NZL;New Zealand;2014;Export;0.451
KIR;64;Kiribati;WLD; World;2013;Export;0.145
KIR;64;Kiribati;WLD; World;2014;Export;158.829
KIR;67;Kiribati;AUS;Australia;2014;Export;0.006
KIR;67;Kiribati;FJI;Fiji;2012;Export;0.01
KIR;67;Kiribati;SLB;Solomon Islands;2010;Export;0.229
KIR;67;Kiribati;WLD; World;2010;Export;0.229
KIR;67;Kiribati;WLD; World;2012;Export;0.01
KIR;67;Kiribati;WLD; World;2014;Export;0.258
KIR;68;Kiribati;AUS;Australia;2014;Export;7.408
KIR;68;Kiribati;WLD; World;2014;Export;87.651
KIR;69;Kiribati;AUS;Australia;2010;Export;30.905
KIR;69;Kiribati;AUS;Australia;2011;Export;176.161
KIR;69;Kiribati;AUS;Australia;2012;Export;25.872
KIR;69;Kiribati;AUS;Australia;2013;Export;21.706
KIR;69;Kiribati;AUS;Australia;2014;Export;0.101
KIR;69;Kiribati;CHE;Switzerland;2010;Export;16.052
KIR;69;Kiribati;FJI;Fiji;2010;Export;8.962
KIR;69;Kiribati;FJI;Fiji;2011;Export;0.529
KIR;69;Kiribati;FJI;Fiji;2012;Export;3.955
KIR;69;Kiribati;FJI;Fiji;2013;Export;2.643
KIR;69;Kiribati;FJI;Fiji;2014;Export;59.044
KIR;69;Kiribati;GRC;Greece;2014;Export;0.009
KIR;69;Kiribati;HKG;Hong Kong, China;2010;Export;24.359
KIR;69;Kiribati;HKG;Hong Kong, China;2011;Export;11.868
KIR;69;Kiribati;JPN;Japan;2010;Export;5.504
KIR;69;Kiribati;NZL;New Zealand;2010;Export;144.623
KIR;69;Kiribati;NZL;New Zealand;2011;Export;0.124
KIR;69;Kiribati;NZL;New Zealand;2012;Export;0.114
KIR;69;Kiribati;NZL;New Zealand;2013;Export;0.26
KIR;69;Kiribati;NZL;New Zealand;2014;Export;34.281
KIR;69;Kiribati;SLB;Solomon Islands;2010;Export;0.578
KIR;69;Kiribati;SLB;Solomon Islands;2011;Export;18.473
KIR;69;Kiribati;VNM;Vietnam;2012;Export;108.287
KIR;69;Kiribati;WLD; World;2010;Export;230.982
KIR;69;Kiribati;WLD; World;2011;Export;207.155
KIR;69;Kiribati;WLD; World;2012;Export;138.228
KIR;69;Kiribati;WLD; World;2013;Export;69.854
KIR;69;Kiribati;WLD; World;2014;Export;150.218
KNA;334;St. Kitts and Nevis;ANT;Netherlands Antilles;2010;Export;0
KNA;334;St. Kitts and Nevis;DEU;Germany;2013;Export;0.2
KNA;334;St. Kitts and Nevis;KOR;Korea, Rep.;2010;Export;0
KNA;334;St. Kitts and Nevis;USA;United States;2014;Export;0
KNA;334;St. Kitts and Nevis;VGB;British Virgin Islands;2011;Export;1.5
KNA;334;St. Kitts and Nevis;VGB;British Virgin Islands;2012;Export;0.074
KNA;334;St. Kitts and Nevis;VGB;British Virgin Islands;2014;Export;0.437
KNA;334;St. Kitts and Nevis;WLD; World;2010;Export;0
KNA;334;St. Kitts and Nevis;WLD; World;2011;Export;1.5
KNA;334;St. Kitts and Nevis;WLD; World;2012;Export;0.074
KNA;334;St. Kitts and Nevis;WLD; World;2013;Export;0.2
KNA;334;St. Kitts and Nevis;WLD; World;2014;Export;0.437
KNA;335;St. Kitts and Nevis;WLD; World;2012;Export;3.5
KNA;51;St. Kitts and Nevis;AIA;Anguila;2014;Export;0.296
KNA;51;St. Kitts and Nevis;CHE;Switzerland;2014;Export;0
KNA;51;St. Kitts and Nevis;FRA;France;2011;Export;0.013
KNA;51;St. Kitts and Nevis;GBR;United Kingdom;2014;Export;0
KNA;51;St. Kitts and Nevis;MSR;Montserrat;2011;Export;0
KNA;51;St. Kitts and Nevis;USA;United States;2010;Export;0
KNA;51;St. Kitts and Nevis;USA;United States;2011;Export;0
KNA;51;St. Kitts and Nevis;USA;United States;2012;Export;0.031
KNA;51;St. Kitts and Nevis;USA;United States;2013;Export;0.018
KNA;51;St. Kitts and Nevis;USA;United States;2014;Export;0
KNA;51;St. Kitts and Nevis;VGB;British Virgin Islands;2012;Export;0
KNA;51;St. Kitts and Nevis;VGB;British Virgin Islands;2013;Export;0.034
KNA;51;St. Kitts and Nevis;WLD; World;2010;Export;0
KNA;51;St. Kitts and Nevis;WLD; World;2011;Export;0.014
KNA;51;St. Kitts and Nevis;WLD; World;2012;Export;0.032
KNA;51;St. Kitts and Nevis;WLD; World;2013;Export;0.052
KNA;51;St. Kitts and Nevis;WLD; World;2014;Export;0.297
KNA;52;St. Kitts and Nevis;ANT;Netherlands Antilles;2010;Export;0
KNA;52;St. Kitts and Nevis;TTO;Trinidad and Tobago;2014;Export;3.704
KNA;52;St. Kitts and Nevis;USA;United States;2010;Export;0
KNA;52;St. Kitts and Nevis;USA;United States;2012;Export;0
KNA;52;St. Kitts and Nevis;WLD; World;2010;Export;0
KNA;52;St. Kitts and Nevis;WLD; World;2011;Export;0
KNA;52;St. Kitts and Nevis;WLD; World;2012;Export;0.55
KNA;52;St. Kitts and Nevis;WLD; World;2014;Export;7.376
KNA;562;St. Kitts and Nevis;AIA;Anguila;2010;Export;0
KNA;562;St. Kitts and Nevis;AIA;Anguila;2011;Export;0
KNA;562;St. Kitts and Nevis;ANT;Netherlands Antilles;2010;Export;0
KNA;562;St. Kitts and Nevis;WLD; World;2010;Export;0
KNA;562;St. Kitts and Nevis;WLD; World;2011;Export;0.37
KNA;562;St. Kitts and Nevis;WLD; World;2012;Export;0
KNA;562;St. Kitts and Nevis;WLD; World;2013;Export;0.304
KNA;59;St. Kitts and Nevis;AIA;Anguila;2010;Export;0.259
KNA;59;St. Kitts and Nevis;AIA;Anguila;2014;Export;0.019
KNA;59;St. Kitts and Nevis;BRB;Barbados;2012;Export;0
KNA;59;St. Kitts and Nevis;FRA;France;2011;Export;0
KNA;59;St. Kitts and Nevis;MSR;Montserrat;2010;Export;0
KNA;59;St. Kitts and Nevis;MSR;Montserrat;2012;Export;0
KNA;59;St. Kitts and Nevis;NLD;Netherlands;2011;Export;0.666
KNA;59;St. Kitts and Nevis;NLD;Netherlands;2012;Export;0
KNA;59;St. Kitts and Nevis;TTO;Trinidad and Tobago;2014;Export;0
KNA;59;St. Kitts and Nevis;USA;United States;2010;Export;0.028
KNA;59;St. Kitts and Nevis;USA;United States;2012;Export;0.047
KNA;59;St. Kitts and Nevis;USA;United States;2014;Export;17.229
KNA;59;St. Kitts and Nevis;WLD; World;2010;Export;0.287
KNA;59;St. Kitts and Nevis;WLD; World;2011;Export;0.666
KNA;59;St. Kitts and Nevis;WLD; World;2012;Export;0.065
KNA;59;St. Kitts and Nevis;WLD; World;2013;Export;0
KNA;59;St. Kitts and Nevis;WLD; World;2014;Export;17.248
KNA;634;St. Kitts and Nevis;DMA;Dominica;2013;Export;0
KNA;634;St. Kitts and Nevis;GUY;Guyana;2014;Export;0
KNA;634;St. Kitts and Nevis;VGB;British Virgin Islands;2014;Export;0
KNA;634;St. Kitts and Nevis;WLD; World;2010;Export;0
KNA;634;St. Kitts and Nevis;WLD; World;2011;Export;0
KNA;634;St. Kitts and Nevis;WLD; World;2013;Export;0
KNA;634;St. Kitts and Nevis;WLD; World;2014;Export;0
KNA;635;St. Kitts and Nevis;ABW;Aruba;2014;Export;0.162
KNA;635;St. Kitts and Nevis;AFG;Afghanistan;2014;Export;0
KNA;635;St. Kitts and Nevis;AIA;Anguila;2010;Export;0
KNA;635;St. Kitts and Nevis;AIA;Anguila;2011;Export;0
KNA;635;St. Kitts and Nevis;AIA;Anguila;2012;Export;0
KNA;635;St. Kitts and Nevis;AIA;Anguila;2013;Export;0
KNA;635;St. Kitts and Nevis;AIA;Anguila;2014;Export;0
KNA;635;St. Kitts and Nevis;DMA;Dominica;2010;Export;0
KNA;635;St. Kitts and Nevis;DMA;Dominica;2011;Export;0
KNA;635;St. Kitts and Nevis;DMA;Dominica;2012;Export;0
KNA;635;St. Kitts and Nevis;DMA;Dominica;2013;Export;0
KNA;635;St. Kitts and Nevis;DMA;Dominica;2014;Export;0
KNA;635;St. Kitts and Nevis;GBR;United Kingdom;2010;Export;0
KNA;635;St. Kitts and Nevis;GRD;Grenada;2010;Export;0
KNA;635;St. Kitts and Nevis;GRD;Grenada;2011;Export;0
KNA;635;St. Kitts and Nevis;GRD;Grenada;2012;Export;0
KNA;635;St. Kitts and Nevis;GRD;Grenada;2013;Export;0
KNA;635;St. Kitts and Nevis;GRD;Grenada;2014;Export;0
KNA;635;St. Kitts and Nevis;LCA;St. Lucia;2010;Export;0
KNA;635;St. Kitts and Nevis;LCA;St. Lucia;2011;Export;0
KNA;635;St. Kitts and Nevis;LCA;St. Lucia;2012;Export;0
KNA;635;St. Kitts and Nevis;LCA;St. Lucia;2013;Export;0
KNA;635;St. Kitts and Nevis;LCA;St. Lucia;2014;Export;0.022
KNA;635;St. Kitts and Nevis;MSR;Montserrat;2014;Export;0.926
KNA;635;St. Kitts and Nevis;TTO;Trinidad and Tobago;2010;Export;0
KNA;635;St. Kitts and Nevis;TTO;Trinidad and Tobago;2011;Export;0
KNA;635;St. Kitts and Nevis;TTO;Trinidad and Tobago;2014;Export;0
KNA;635;St. Kitts and Nevis;USA;United States;2010;Export;0.091
KNA;635;St. Kitts and Nevis;USA;United States;2011;Export;0.704
KNA;635;St. Kitts and Nevis;USA;United States;2012;Export;3.639
KNA;635;St. Kitts and Nevis;USA;United States;2013;Export;1
KNA;635;St. Kitts and Nevis;USA;United States;2014;Export;0.542
KNA;635;St. Kitts and Nevis;VCT;St. Vincent and the Grenadines;2010;Export;0
KNA;635;St. Kitts and Nevis;VCT;St. Vincent and the Grenadines;2011;Export;0
KNA;635;St. Kitts and Nevis;VCT;St. Vincent and the Grenadines;2012;Export;0
KNA;635;St. Kitts and Nevis;VCT;St. Vincent and the Grenadines;2013;Export;0
KNA;635;St. Kitts and Nevis;VCT;St. Vincent and the Grenadines;2014;Export;0
KNA;635;St. Kitts and Nevis;VGB;British Virgin Islands;2012;Export;0.5
KNA;635;St. Kitts and Nevis;WLD; World;2010;Export;0.277
KNA;635;St. Kitts and Nevis;WLD; World;2011;Export;0.703
KNA;635;St. Kitts and Nevis;WLD; World;2012;Export;6.869
KNA;635;St. Kitts and Nevis;WLD; World;2013;Export;1.667
KNA;635;St. Kitts and Nevis;WLD; World;2014;Export;1.81
KNA;64;St. Kitts and Nevis;AIA;Anguila;2010;Export;2.556
KNA;64;St. Kitts and Nevis;AIA;Anguila;2012;Export;0.041
KNA;64;St. Kitts and Nevis;AIA;Anguila;2013;Export;0
KNA;64;St. Kitts and Nevis;AIA;Anguila;2014;Export;0.015
KNA;64;St. Kitts and Nevis;ALB;Albania;2013;Export;0.015
KNA;64;St. Kitts and Nevis;ANT;Netherlands Antilles;2010;Export;0.074
KNA;64;St. Kitts and Nevis;ARE;United Arab Emirates;2014;Export;10
KNA;64;St. Kitts and Nevis;BLZ;Belize;2012;Export;0
KNA;64;St. Kitts and Nevis;BRB;Barbados;2012;Export;0
KNA;64;St. Kitts and Nevis;CAN;Canada;2011;Export;0.76
KNA;64;St. Kitts and Nevis;CYM;Cayman Islands;2011;Export;0
KNA;64;St. Kitts and Nevis;DMA;Dominica;2010;Export;0
KNA;64;St. Kitts and Nevis;ECU;Ecuador;2011;Export;0
KNA;64;St. Kitts and Nevis;FRA;France;2014;Export;0.007
KNA;64;St. Kitts and Nevis;GBR;United Kingdom;2014;Export;0
KNA;64;St. Kitts and Nevis;GRD;Grenada;2013;Export;1.481
KNA;64;St. Kitts and Nevis;GUY;Guyana;2012;Export;0.037
KNA;64;St. Kitts and Nevis;LCA;St. Lucia;2014;Export;0.093
KNA;64;St. Kitts and Nevis;TTO;Trinidad and Tobago;2014;Export;0
KNA;64;St. Kitts and Nevis;USA;United States;2010;Export;4
KNA;64;St. Kitts and Nevis;USA;United States;2011;Export;1.127
KNA;64;St. Kitts and Nevis;USA;United States;2012;Export;0.954
KNA;64;St. Kitts and Nevis;USA;United States;2013;Export;1.91
KNA;64;St. Kitts and Nevis;USA;United States;2014;Export;0.426
KNA;64;St. Kitts and Nevis;VAT;Holy See;2012;Export;0.007
KNA;64;St. Kitts and Nevis;VGB;British Virgin Islands;2010;Export;0
KNA;64;St. Kitts and Nevis;VGB;British Virgin Islands;2011;Export;0
KNA;64;St. Kitts and Nevis;VGB;British Virgin Islands;2012;Export;0
KNA;64;St. Kitts and Nevis;VGB;British Virgin Islands;2014;Export;0.019
KNA;64;St. Kitts and Nevis;WLD; World;2010;Export;6.63
KNA;64;St. Kitts and Nevis;WLD; World;2011;Export;1.888
KNA;64;St. Kitts and Nevis;WLD; World;2012;Export;1.09
KNA;64;St. Kitts and Nevis;WLD; World;2013;Export;3.473
KNA;64;St. Kitts and Nevis;WLD; World;2014;Export;10.944
KNA;661;St. Kitts and Nevis;DMA;Dominica;2011;Export;1.852
KNA;661;St. Kitts and Nevis;USA;United States;2011;Export;0.867
KNA;661;St. Kitts and Nevis;WLD; World;2011;Export;3.919
KNA;67;St. Kitts and Nevis;AIA;Anguila;2013;Export;0.333
KNA;67;St. Kitts and Nevis;DMA;Dominica;2012;Export;0
KNA;67;St. Kitts and Nevis;DMA;Dominica;2013;Export;1.704
KNA;67;St. Kitts and Nevis;LCA;St. Lucia;2010;Export;0
KNA;67;St. Kitts and Nevis;USA;United States;2010;Export;0
