ReporterISO3;ProductCode;ReporterName;PartnerISO3;PartnerName;Year;TradeFlowName;TradeValue in 1000 USD
VNM;251;Vietnam;AGO;Angola;2014;Export;43.8
VNM;251;Vietnam;ARE;United Arab Emirates;2013;Export;134.282
VNM;251;Vietnam;AUS;Australia;2010;Export;28.745
VNM;251;Vietnam;AUS;Australia;2013;Export;6.635
VNM;251;Vietnam;AUS;Australia;2014;Export;3.52
VNM;251;Vietnam;BEL;Belgium;2012;Export;0.529
VNM;251;Vietnam;BGD;Bangladesh;2012;Export;265.444
VNM;251;Vietnam;CHN;China;2010;Export;7.001.109
VNM;251;Vietnam;CHN;China;2011;Export;173.107
VNM;251;Vietnam;CHN;China;2012;Export;10.913.175
VNM;251;Vietnam;CHN;China;2013;Export;25.210.105
VNM;251;Vietnam;CHN;China;2014;Export;11.499.753
VNM;251;Vietnam;FRA;France;2010;Export;4.8
VNM;251;Vietnam;GBR;United Kingdom;2010;Export;14.287
VNM;251;Vietnam;GBR;United Kingdom;2011;Export;31.848
VNM;251;Vietnam;HKG;Hong Kong, China;2010;Export;673.236
VNM;251;Vietnam;HKG;Hong Kong, China;2012;Export;931.351
VNM;251;Vietnam;IDN;Indonesia;2011;Export;84.606
VNM;251;Vietnam;IDN;Indonesia;2012;Export;494.804
VNM;251;Vietnam;IDN;Indonesia;2013;Export;3.113.343
VNM;251;Vietnam;IDN;Indonesia;2014;Export;2.442.653
VNM;251;Vietnam;IND;India;2012;Export;161.724
VNM;251;Vietnam;IND;India;2014;Export;335.727
VNM;251;Vietnam;JPN;Japan;2010;Export;41.418
VNM;251;Vietnam;JPN;Japan;2011;Export;12.085
VNM;251;Vietnam;JPN;Japan;2012;Export;1.710.348
VNM;251;Vietnam;JPN;Japan;2013;Export;2.571.007
VNM;251;Vietnam;JPN;Japan;2014;Export;1.535.289
VNM;251;Vietnam;KHM;Cambodia;2010;Export;8.76
VNM;251;Vietnam;KHM;Cambodia;2013;Export;32.552
VNM;251;Vietnam;KHM;Cambodia;2014;Export;54.641
VNM;251;Vietnam;KOR;Korea, Rep.;2010;Export;1.301.328
VNM;251;Vietnam;KOR;Korea, Rep.;2011;Export;2.1
VNM;251;Vietnam;KOR;Korea, Rep.;2012;Export;132.059
VNM;251;Vietnam;KOR;Korea, Rep.;2013;Export;284.756
VNM;251;Vietnam;KOR;Korea, Rep.;2014;Export;167.544
VNM;251;Vietnam;MYS;Malaysia;2010;Export;22.222
VNM;251;Vietnam;MYS;Malaysia;2011;Export;26.903
VNM;251;Vietnam;MYS;Malaysia;2012;Export;105.867
VNM;251;Vietnam;MYS;Malaysia;2013;Export;1.619
VNM;251;Vietnam;MYS;Malaysia;2014;Export;412.634
VNM;251;Vietnam;NLD;Netherlands;2013;Export;0.4
VNM;251;Vietnam;PHL;Philippines;2010;Export;52.649
VNM;251;Vietnam;PHL;Philippines;2013;Export;106.779
VNM;251;Vietnam;PHL;Philippines;2014;Export;778.645
VNM;251;Vietnam;SGP;Singapore;2010;Export;26.022
VNM;251;Vietnam;SGP;Singapore;2011;Export;101.502
VNM;251;Vietnam;SGP;Singapore;2012;Export;584.97
VNM;251;Vietnam;SGP;Singapore;2014;Export;41.041
VNM;251;Vietnam;THA;Thailand;2010;Export;151.586
VNM;251;Vietnam;THA;Thailand;2011;Export;3.1
VNM;251;Vietnam;THA;Thailand;2012;Export;2.164.309
VNM;251;Vietnam;THA;Thailand;2013;Export;0.41
VNM;251;Vietnam;THA;Thailand;2014;Export;948.389
VNM;251;Vietnam;USA;United States;2010;Export;3.899
VNM;251;Vietnam;USA;United States;2011;Export;22.527
VNM;251;Vietnam;USA;United States;2012;Export;8.307
VNM;251;Vietnam;USA;United States;2013;Export;0.6
VNM;251;Vietnam;USA;United States;2014;Export;0.744
VNM;251;Vietnam;WLD; World;2010;Export;9.334.561
VNM;251;Vietnam;WLD; World;2011;Export;457.778
VNM;251;Vietnam;WLD; World;2012;Export;17.586.417
VNM;251;Vietnam;WLD; World;2013;Export;31.487.491
VNM;251;Vietnam;WLD; World;2014;Export;18304.23
VNM;251;Vietnam;ZAF;South Africa;2014;Export;39.851
VNM;334;Vietnam;AGO;Angola;2013;Export;3.66
VNM;334;Vietnam;AGO;Angola;2014;Export;4.439
VNM;334;Vietnam;ARE;United Arab Emirates;2010;Export;222.87
VNM;334;Vietnam;ARE;United Arab Emirates;2011;Export;239.927
VNM;334;Vietnam;ARE;United Arab Emirates;2014;Export;291.602
VNM;334;Vietnam;ARM;Armenia;2014;Export;9.996.708
VNM;334;Vietnam;AUS;Australia;2010;Export;471.696
VNM;334;Vietnam;AUS;Australia;2011;Export;505.227
VNM;334;Vietnam;AUS;Australia;2012;Export;716.549
VNM;334;Vietnam;AUS;Australia;2013;Export;424.616
VNM;334;Vietnam;AUS;Australia;2014;Export;211.577
VNM;334;Vietnam;BDI;Burundi;2014;Export;1.224
VNM;334;Vietnam;BFA;Burkina Faso;2014;Export;14.4
VNM;334;Vietnam;BGD;Bangladesh;2010;Export;71.876
VNM;334;Vietnam;BGD;Bangladesh;2011;Export;217.707
VNM;334;Vietnam;BGD;Bangladesh;2012;Export;460.421
VNM;334;Vietnam;BGD;Bangladesh;2013;Export;827.401
VNM;334;Vietnam;BGD;Bangladesh;2014;Export;323.821
VNM;334;Vietnam;BHS;Bahamas, The;2010;Export;763.621
VNM;334;Vietnam;BHS;Bahamas, The;2011;Export;3.640.519
VNM;334;Vietnam;BHS;Bahamas, The;2012;Export;1.013.437
VNM;334;Vietnam;BHS;Bahamas, The;2014;Export;191.577
VNM;334;Vietnam;BLZ;Belize;2012;Export;300.278
VNM;334;Vietnam;BOL;Bolivia;2010;Export;13.297
VNM;334;Vietnam;BRN;Brunei;2010;Export;40.173
VNM;334;Vietnam;BRN;Brunei;2012;Export;208.792
VNM;334;Vietnam;BRN;Brunei;2013;Export;333.25
VNM;334;Vietnam;BRN;Brunei;2014;Export;475.446
VNM;334;Vietnam;CAN;Canada;2010;Export;22.763
VNM;334;Vietnam;CAN;Canada;2014;Export;1.2
VNM;334;Vietnam;CHE;Switzerland;2010;Export;11.232
VNM;334;Vietnam;CHL;Chile;2011;Export;69.165
VNM;334;Vietnam;CHN;China;2010;Export;398.039.075
VNM;334;Vietnam;CHN;China;2011;Export;768.989.679
VNM;334;Vietnam;CHN;China;2012;Export;394.198.831
VNM;334;Vietnam;CHN;China;2013;Export;125183.68
VNM;334;Vietnam;CHN;China;2014;Export;244.345.815
VNM;334;Vietnam;CMR;Cameroon;2012;Export;1.65
VNM;334;Vietnam;CMR;Cameroon;2014;Export;1.723
VNM;334;Vietnam;COL;Colombia;2010;Export;902.023
VNM;334;Vietnam;COL;Colombia;2012;Export;1057
VNM;334;Vietnam;COL;Colombia;2014;Export;68.352
VNM;334;Vietnam;CYP;Cyprus;2010;Export;253.487
VNM;334;Vietnam;CYP;Cyprus;2011;Export;1520.13
VNM;334;Vietnam;CYP;Cyprus;2012;Export;296.135
VNM;334;Vietnam;CYP;Cyprus;2013;Export;135.866
VNM;334;Vietnam;CYP;Cyprus;2014;Export;1.037.488
VNM;334;Vietnam;CZE;Czech Republic;2012;Export;36.745
VNM;334;Vietnam;DEU;Germany;2010;Export;97.134
VNM;334;Vietnam;DEU;Germany;2011;Export;414.783
VNM;334;Vietnam;DEU;Germany;2012;Export;183.28
VNM;334;Vietnam;DEU;Germany;2013;Export;217.35
VNM;334;Vietnam;DEU;Germany;2014;Export;25.501.301
VNM;334;Vietnam;DMA;Dominica;2013;Export;98.86
VNM;334;Vietnam;DNK;Denmark;2011;Export;112.906
VNM;334;Vietnam;DNK;Denmark;2012;Export;386.4
VNM;334;Vietnam;DNK;Denmark;2013;Export;1.031.556
VNM;334;Vietnam;DNK;Denmark;2014;Export;1487.12
VNM;334;Vietnam;DZA;Algeria;2011;Export;219.59
VNM;334;Vietnam;EGY;Egypt, Arab Rep.;2010;Export;178.487
VNM;334;Vietnam;ESP;Spain;2010;Export;34.44
VNM;334;Vietnam;FIN;Finland;2011;Export;167.043
VNM;334;Vietnam;FIN;Finland;2012;Export;206.3
VNM;334;Vietnam;FRA;France;2010;Export;407.235
VNM;334;Vietnam;FRA;France;2011;Export;1538.45
VNM;334;Vietnam;FRA;France;2012;Export;38.801.835
VNM;334;Vietnam;FRA;France;2013;Export;239.946
VNM;334;Vietnam;FRA;France;2014;Export;120.028
VNM;334;Vietnam;GBR;United Kingdom;2010;Export;76.253
VNM;334;Vietnam;GBR;United Kingdom;2011;Export;136.301
VNM;334;Vietnam;GBR;United Kingdom;2012;Export;241.415
VNM;334;Vietnam;GBR;United Kingdom;2013;Export;160.982
VNM;334;Vietnam;GBR;United Kingdom;2014;Export;733.381
VNM;334;Vietnam;GEO;Georgia;2010;Export;864.696
VNM;334;Vietnam;GEO;Georgia;2011;Export;207.512
VNM;334;Vietnam;GIN;Guinea;2010;Export;19.651
VNM;334;Vietnam;GIN;Guinea;2012;Export;0.97
VNM;334;Vietnam;GRC;Greece;2010;Export;121.297
VNM;334;Vietnam;GRC;Greece;2011;Export;107.1
VNM;334;Vietnam;GRC;Greece;2012;Export;58.642
VNM;334;Vietnam;GRC;Greece;2013;Export;106.67
VNM;334;Vietnam;GRC;Greece;2014;Export;5.476
VNM;334;Vietnam;GRD;Grenada;2010;Export;201.535
VNM;334;Vietnam;HKG;Hong Kong, China;2010;Export;20.057.609
VNM;334;Vietnam;HKG;Hong Kong, China;2011;Export;32.282.598
VNM;334;Vietnam;HKG;Hong Kong, China;2012;Export;11.820.801
VNM;334;Vietnam;HKG;Hong Kong, China;2013;Export;10.755.784
VNM;334;Vietnam;HKG;Hong Kong, China;2014;Export;13.037.803
VNM;334;Vietnam;HRV;Croatia;2010;Export;77.966
VNM;334;Vietnam;HRV;Croatia;2011;Export;101.253
VNM;334;Vietnam;HRV;Croatia;2014;Export;93.66
VNM;334;Vietnam;HTI;Haiti;2012;Export;0.663
VNM;334;Vietnam;IDN;Indonesia;2010;Export;4.725.979
VNM;334;Vietnam;IDN;Indonesia;2011;Export;7.394.024
VNM;334;Vietnam;IDN;Indonesia;2012;Export;2.447.278
VNM;334;Vietnam;IDN;Indonesia;2013;Export;41.943.638
VNM;334;Vietnam;IDN;Indonesia;2014;Export;6.462.852
VNM;334;Vietnam;IND;India;2010;Export;1.726.243
VNM;334;Vietnam;IND;India;2011;Export;307.217
VNM;334;Vietnam;IND;India;2012;Export;552.082
VNM;334;Vietnam;IND;India;2013;Export;142.888
VNM;334;Vietnam;IND;India;2014;Export;1.514
VNM;334;Vietnam;ISR;Israel;2012;Export;40.395
VNM;334;Vietnam;ISR;Israel;2013;Export;15.081
VNM;334;Vietnam;ITA;Italy;2010;Export;141.307
VNM;334;Vietnam;ITA;Italy;2011;Export;1.105.515
VNM;334;Vietnam;ITA;Italy;2012;Export;1.532.175
VNM;334;Vietnam;ITA;Italy;2013;Export;444.302
VNM;334;Vietnam;JPN;Japan;2010;Export;3.276.719
VNM;334;Vietnam;JPN;Japan;2011;Export;5.710.559
VNM;334;Vietnam;JPN;Japan;2012;Export;32.722.107
VNM;334;Vietnam;JPN;Japan;2013;Export;1.352.501
VNM;334;Vietnam;JPN;Japan;2014;Export;7.416.179
VNM;334;Vietnam;KHM;Cambodia;2010;Export;574588.03
VNM;334;Vietnam;KHM;Cambodia;2011;Export;830215.57
VNM;334;Vietnam;KHM;Cambodia;2012;Export;816.972.315
VNM;334;Vietnam;KHM;Cambodia;2013;Export;613.949.941
VNM;334;Vietnam;KHM;Cambodia;2014;Export;503.784.019
VNM;334;Vietnam;KIR;Kiribati;2010;Export;443.301
VNM;334;Vietnam;KIR;Kiribati;2014;Export;1.690.419
VNM;334;Vietnam;KOR;Korea, Rep.;2010;Export;27.791.277
VNM;334;Vietnam;KOR;Korea, Rep.;2011;Export;73.315.763
VNM;334;Vietnam;KOR;Korea, Rep.;2012;Export;81.654.594
VNM;334;Vietnam;KOR;Korea, Rep.;2013;Export;86.805.988
VNM;334;Vietnam;KOR;Korea, Rep.;2014;Export;34.635.747
VNM;334;Vietnam;KWT;Kuwait;2011;Export;115.064
VNM;334;Vietnam;LAO;Lao PDR;2010;Export;45.325.158
VNM;334;Vietnam;LAO;Lao PDR;2011;Export;65.917.918
VNM;334;Vietnam;LAO;Lao PDR;2012;Export;99.659.871
VNM;334;Vietnam;LAO;Lao PDR;2013;Export;107641.92
VNM;334;Vietnam;LAO;Lao PDR;2014;Export;87.643.723
VNM;334;Vietnam;LBN;Lebanon;2010;Export;68.038
VNM;334;Vietnam;LBR;Liberia;2010;Export;2.100.098
VNM;334;Vietnam;LBR;Liberia;2011;Export;3.475.765
VNM;334;Vietnam;LBR;Liberia;2012;Export;2.802.682
VNM;334;Vietnam;LBR;Liberia;2013;Export;2.456.649
VNM;334;Vietnam;LBR;Liberia;2014;Export;971.888
VNM;334;Vietnam;LBY;Libya;2010;Export;293.032
VNM;334;Vietnam;LKA;Sri Lanka;2010;Export;10.304
VNM;334;Vietnam;LKA;Sri Lanka;2011;Export;175.525
VNM;334;Vietnam;LKA;Sri Lanka;2013;Export;58.518
VNM;334;Vietnam;LKA;Sri Lanka;2014;Export;59.982
VNM;334;Vietnam;LUX;Luxembourg;2010;Export;342.91
VNM;334;Vietnam;MAC;Macao;2012;Export;1921
VNM;334;Vietnam;MHL;Marshall Islands;2012;Export;3.014.782
VNM;334;Vietnam;MHL;Marshall Islands;2013;Export;1.949.491
VNM;334;Vietnam;MHL;Marshall Islands;2014;Export;1146.78
VNM;334;Vietnam;MLI;Mali;2012;Export;728
VNM;334;Vietnam;MLT;Malta;2010;Export;905.282
VNM;334;Vietnam;MLT;Malta;2012;Export;1.348.568
VNM;334;Vietnam;MLT;Malta;2013;Export;1.620.238
VNM;334;Vietnam;MLT;Malta;2014;Export;315.283
