ori;des;ANO;EXP;contig;comlang_off;colony;distwces;SCO_O;SCO_D
AGO;ALB;2010;0;0;0;0;5699.611;0.641666667;0.05
AGO;ARE;2010;366245.201;0;0;0;5933.662;0.641666667;0.733333333
AGO;ARG;2010;0;0;0;0;7961.882;0.641666667;0.191666667
AGO;ARM;2010;0;0;0;0;6407.158;0.641666667;0.308333333
AGO;AUS;2010;0;0;0;0;12879.34;0.641666667;0.533333333
AGO;AUT;2010;0;0;0;0;6423.484;0.641666667;0.608333333
AGO;AZE;2010;0;0;0;0;6645.089;0.641666667;0.041666667
AGO;BEL;2010;45614.873;0;0;0;6809.598;0.641666667;0.866666667
AGO;BEN;2010;0;0;0;0;2307.673;0.641666667;0.958333333
AGO;BGD;2010;0;0;0;0;9113.505;0.641666667;0.366666667
AGO;BGR;2010;0;0;0;0;5953.88;0.641666667;0.791666667
AGO;BHR;2010;0;0;0;0;5643.867;0.641666667;0.816666667
AGO;BIH;2010;0;0;0;0;6019.445;0.641666667;0.925
AGO;BLR;2010;0;0;0;0;7177.507;0.641666667;0.508333333
AGO;BOL;2010;0;0;0;0;8599.221;0.641666667;0.833333333
AGO;BRA;2010;509259.955;0;1;0;6391.615;0.641666667;0.508333333
AGO;BRN;2010;0;0;0;0;11293.6;0.641666667;0.616666667
AGO;BWA;2010;0;0;0;0;1975.633;0.641666667;0.3
AGO;CAN;2010;4039116.578;0;0;0;11486.64;0.641666667;0.616666667
AGO;CHE;2010;70779.935;0;0;0;6348.073;0.641666667;0.016666667
AGO;CHL;2010;0;0;0;0;8944.55;0.641666667;0.241666667
AGO;CHN;2010;20963245.48;0;0;0;11803.09;0.641666667;0.841666667
AGO;CIV;2010;0;0;0;0;2688.067;0.641666667;0.966666667
AGO;CMR;2010;0;0;0;0;1716.957;0.641666667;0.35
AGO;COG;2010;4599.24;0;0;0;592.3489;0.641666667;0.2
AGO;COL;2010;0;0;0;0;9978.605;0.641666667;0.058333333
AGO;CRI;2010;0;0;0;0;11063.8;0.641666667;0.091666667
AGO;CYP;2010;206.626;0;0;0;5388.859;0.641666667;0.125
AGO;CZE;2010;0;0;0;0;6645.839;0.641666667;0.875
AGO;DEU;2010;0;0;0;0;6813.506;0.641666667;0.45
AGO;DNK;2010;0;0;0;0;7300.732;0.641666667;0.416666667
AGO;DOM;2010;0;0;0;0;9730.952;0.641666667;0.066666667
AGO;DZA;2010;0;0;0;0;5210.312;0.641666667;0.141666667
AGO;ECU;2010;0;0;0;0;10336.62;0.641666667;0.183333333
AGO;EGY;2010;0;0;0;0;4802.731;0.641666667;0.091666667
AGO;ESP;2010;973507.488;0;0;0;5798.348;0.641666667;0.241666667
AGO;EST;2010;0;0;0;0;7738.539;0.641666667;0.983333333
AGO;ETH;2010;0;0;0;0;3496.073;0.641666667;0.491666667
AGO;FIN;2010;0;0;0;0;7952.925;0.641666667;0.95
AGO;FRA;2010;2213064.563;0;0;0;6363.6;0.641666667;0.541666667
AGO;GBR;2010;77152.025;0;0;0;7080.328;0.641666667;0.416666667
AGO;GEO;2010;0;0;0;0;6520.316;0.641666667;0.291666667
AGO;GHA;2010;0;0;0;0;2394.139;0.641666667;0.441666667
